Dam,River,Photo,Indicators,FSC,This Week,Last Week,Last Year
Tierpoort Dam,Tierpoort River,Photo,Indicators,34.0,99.2,100.0,99.3
Vaal Dam,Vaal River,Photo,Indicators,2561.0,101.3,101.9,106.4
Vaalrivier Barrage Dam,Vaal River,Photo,Indicators,53.7,97.8,97.3,97.0
Vanderkloof Dam,Orange River,Photo,Indicators,3137.0,100.1,100.2,99.2
Welbedacht Dam,Caledon River,Photo,Indicators,5.5,100.0,100.0,100.9
Total,Total,Total,Total,15664.6,100.2,100.5,100.8
Belfort Dam,Mafube River,Photo,Indicators,0.5,86.5,86.5,100.0
Binfield Dam,Tyume River,Photo,Indicators,36.8,98.1,97.7,98.4
Boesmanskrantz Dam,Oxkraal River,Photo,Indicators,4.9,69.2,69.6,99.7
Boesmanskrantz Dam,Oxkraal River,,Indicators,4.9,93.7,93.3,99.9
Bridle Drift Dam,Buffalo River,Photo,Indicators,98.0,91.1,85.4,100.1
Cata Dam,Cata River,Photo,Indicators,12.1,75.5,74.7,97.4
Corana Dam,Corana River,Photo,Indicators,0.8,93.8,87.8,96.9
Darlington Dam,Sondags River,Photo,Indicators,179.9,48.3,48.4,39.8
De Mistkraal Dam,Little Fish River,Photo,Indicators,2.1,79.0,86.5,100.8
Debe Dam,Debe River,,Indicators,6.4,58.3,56.8,45.6
Doornrivier Dam,Doorn River,Photo,Indicators,17.1,97.2,95.5,92.4
Elands Drift Dam,Great Fish River,Photo,Indicators,3.6,54.9,95.5,66.1
Elandsdrift Dam,Great Fish River,Photo,Indicators,3.6,70.6,83.7,61.8
Glen Melville Dam,Water from Fish river via Ecca tunnel River,,Indicators,6.3,76.5,74.6,72.1
Glen Melville Dam,Water from Fish river via Ecca tunnel River,Photo,Indicators,6.3,85.9,90.8,90.8
Grassridge Dam,Groot Brak River,Photo,Indicators,44.5,85.9,88.6,57.3
Groendal Dam,Swartkops River,Photo,Indicators,11.7,100.9,100.5,95.3
Gubu Dam,Gubu River,Photo,Indicators,8.6,100.5,99.2,100.0
Impofu Dam,Krom River,Photo,Indicators,105.8,100.4,100.1,50.4
Jozanashoek Dam,Sterkspruit River,Photo,Indicators,9.5,100.1,100.2,100.2
Katrivier Dam,Kat River,Photo,Indicators,24.9,100.3,100.3,100.0
Kommandodrift Dam,Tarka River,Photo,Indicators,56.0,99.5,99.9,83.7
